,Date,Client,Account,Name,Memo/Description,Amount
Yale School of Medicine,,,,,,
   YAM13021 Faculty Managment Profile System Rebuild,,,,,,
,01/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 26 days @ 260/day,"6,760.00  "
,01/30/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/16/2015-2/1/2015 total 43 days @ 260/day,"11,180.00  "
,02/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/16/2015-2/1/2015 total 40 days @ 260/day,"10,400.00  "
,02/27/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/16/2015-2/1/2015 total 40 days @ 260/day,"10,400.00  "
,03/16/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 40 days @ 260/day,"10,400.00  "
,03/31/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 47 days @ 260/day,"12,220.00  "
,04/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 44 days @ 260/day,"11,440.00  "
,04/30/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 36 days @ 260/day,"9,880.00  "
,05/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 29 days @ 260/day,"7,540.00  "
,05/29/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 30 days @ 260/day,"7,800.00  "
,06/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 30 days @ 260/day,"5,980.00  "
,07/01/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 6/16-6/30/2015 total 44 days @ 260/day,"11,440.00  "
   Total for YAM13021 Faculty Managment Profile System Rebuild,,,,,,"$ 115,440.00  "
   YAM14016 YCCI,,,,,,
,01/15/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 4 days @ 260/day,"1,040.00  "
,01/30/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 11 days @ 260/day,"2,860.00  "
,02/15/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 10 days @ 260/day,"2,600.00  "
,02/27/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 10 days @ 260/day,"2,600.00  "
,03/16/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 10 days @ 260/day,"2,600.00  "
,03/31/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 12 days @ 260/day,"3,120.00  "
