Date,Client,Amount,Project,Vendor Name,Memo
01/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"6,760.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 26 days @ 260/day
01/30/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"11,180.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 1/16/2015-2/1/2015 total 43 days @ 260/day
02/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"10,400.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 1/16/2015-2/1/2015 total 40 days @ 260/day
02/27/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"10,400.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 1/16/2015-2/1/2015 total 40 days @ 260/day
03/16/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"10,400.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 40 days @ 260/day
03/31/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"12,220.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 47 days @ 260/day
04/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"11,440.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 44 days @ 260/day
04/30/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"9,880.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 36 days @ 260/day
05/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"7,540.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 29 days @ 260/day
05/29/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"7,800.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 30 days @ 260/day
06/15/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"5,980.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 30 days @ 260/day
07/01/2015,Yale School of Medicine:YAM13021 Faculty Managment Profile System Rebuild,"11,440.00  ",YAM13021,Rembros Corporation,Acct # 7860688501; 6/16-6/30/2015 total 44 days @ 260/day
01/15/2015,Yale School of Medicine:YAM14016 YCCI,"1,040.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 4 days @ 260/day
01/30/2015,Yale School of Medicine:YAM14016 YCCI,"2,860.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 11 days @ 260/day
